,text,label
200,"['sabar', 'yaa', 'insya', 'allah', 'buka', 'pintu', 'syurga', 'halang', 'api', 'neraka', 'orang', 'tua']",1
201,"['lagu', 'mbak', 'tata', 'kisah', 'nyata', 'rumah', 'tangga', 'mbak', 'tata', 'mbak', 'tata', 'bener', 'sayang', 'get', 'suami', 'syukur', 'moga', 'awet']",1
202,"['komen', 'si', 'mbak', 'ga', 'sedih', 'ketawa', 'ya', 'iya', 'klo', 'dah', 'sakit', 'sm', 'pasang', 'smpe', 'larut', 'ngapain', 'sih', 'sedih', 'ampe', 'depresi', 'serahin', 'sm', 'allah', 'aja', 'bawa', 'happy', 'aja', 'mski', 'sakit', 'si', 'mba', 'senyum', 'wajah', 'tp', 'hati', 'tau', 'senyum', 'bs', 'jd', 'menetralisir', 'kondisi', 'hati', 'lg', 'puruk', 'pepatah', 'bilang', 'klo', 'bahagia', 'jgn', 'trllu', 'bahagia', 'klo', 'sedih', 'jgn', 'trllu', 'sedih', 'imbang', 'aja', 'biar', 'ga', 'gila']",1
203,"['suka', 'banget', 'pasang', 'moga', 'gigi', 'raffi', 'keluarga', 'sakinnah', 'mawaddah', 'warrahmah', 'moga', 'pisah', 'jodoh', 'maut', 'pisah', 'amiin']",1
204,"['jemima', 'anak', 'angkat', 'celine', 'eleeya', 'anak', 'hubung', 'celine', 'dirly', 'haru', 'tau', 'jemima', 'anak', 'panti', 'asuh', 'rawat', 'wajar', 'stefen', 'pilih', 'celine', 'karna', 'hati']",1
205,"['lucu', 'blg', 'stefan', 'menghabiskn', 'muda', 'wkwk', 'umur', 'mah', 'gak', 'muda', 'muka', 'aja', 'baby', 'face', 'syukur', 'bonus', 'celinenya', 'dlu', 'mantan', 'begimane', 'umur', 'ude', 'pacran', 'mcam', 'laki', 'bini', 'hiks', 'lepas', 'tu', 'deh', 'susah', 'ambil', 'putus', 'kaya', 'stefan', 'tipical', 'cowo', 'tnggung', 'jwabnya']",1
206,"['bawa', 'keenan', 'raisa', 'udah', 'bahagia', 'ngedapetin', 'suami', 'super', 'ngemong', 'mature', 'kaya', 'hamish', 'raisa', 'dewasa', 'banding', 'wanita', 'umur', 'mikirin', 'jd', 'gue', 'raisa', 'hamish', 'untung', 'pasang', 'suami', 'istri', 'ga', 'gagal', 'move', 'congratz', 'raisa', 'hamish', 'moga', 'nikah', 'sakinah', 'mawadah', 'warahmah']",1
207,"['raisa', 'cantik', 'yaaa', 'artis', 'ga', 'tonjol', 'kalo', 'nikah', 'mewah', 'udah', 'cantik', 'sederhana', 'sempurna', 'bgt']",1
208,"['karna', 'orang', 'syudah', 'cantik', 'ga', 'dandan', 'heboh', 'utk', 'lihat', 'cantik', 'makeup', 'simple', 'gitu', 'aja', 'pesona', 'bikin', 'hamish', 'klepek']",1
209,"['bagus', 'cari', 'ilmu', 'suami', 'orang', 'didik']",1
210,"['sukak', 'cewe', 'cantik', 'kmauan', 'blajarnya']",1
211,"['yaampun', 'artis', 'bener', 'bener', 'good', 'attitude', 'layak', 'panutan', 'aja', 'kuliah', 'negri', 'tp', 'karna', 'bakti', 'suami', 'pilih', 'kuliah', 'wilayah', 'suami', 'salut', 'banget']",1
212,"['semangat', 'batman', 'va', 'support', 'karna', 'manusia', 'salah', 'tolong', 'bahas', 'pliis', 'karna', 'udah']",1
213,"['udh', 'salam', 'knl', 'mbk', 'neng', 'knl', 'sm', 'mbk', 'sbagai', 'manusia', 'ingetin', 'sbagai', 'manusia', 'hrs', 'tau', 'jgn', 'sombong', 'digedein', 'mentang', 'dah', 'jd', 'artis', 'haha', 'udh', 'mbk', 'cabut', 'ja', 'dri', 'komen', 'foto', 'ni', 'nnt', 'jd', 'korban', 'dy', 'sel']",1
214,"['keren', 'yaaa', 'sederhana', 'pancar', 'sukak', 'sm', 'keluarga', 'presiden']",1
215,"['orang', 'presiden', 'embel', 'gelar', 'bangga']",1
216,"['proud', 'indonesia', 'god', 'bless', 'indonesia']",1
217,"['amazing', 'bngt', 'miss', 'national', 'costume', 'kereenn', 'bangga', 'ama', 'budaya', 'indonesia']",1
218,['bangga'],1
219,"['proud', 'kak', 'dea', 'patut', 'bangga']",1
220,"['suka', 'bgt', 'sm', 'pidatox', 'dy', 'pembawaanx', 'bgtu', 'elegan', 'n', 'brwibawah', 'pntas', 'mmg', 'dy', 'mdptkan', 'salut']",1
221,"['percaya', 'kak', 'nik', 'orang', 'jujur', 'semangat', 'kak', 'nik', 'hebat']",1
222,"['mba', 'gua', 'jg', 'ga', 'benci', 'nikmir', 'salut', 'ama', 'ga', 'muna', 'artis', 'maaf', 'image', 'aja', 'dpan', 'sok', 'sok', 'aniaya', 'n', 'jual', 'air', 'mata', 'nikita', 'real', 'sygnya', 'msyarakat', 'cendrung', 'lihat', 'superfisial']",1
223,"['cantik', 'alami', 'bedak', 'tebel', 'gaya', 'bak', 'tante']",1
224,"['cantik', 'gagah', 'mudah', 'lancar', 'dampe', 'h']",1
225,"['cantik', 'tampil', 'dewasa', 'sesuai', 'muka', 'cantik', 'indonesia', 'classy', 'ayu', 'ayu', 'gimana', 'gitu']",1
226,"['lcb', 'cantikk', 'lcb', 'untung', 'dapet', 'duren', 'duren', 'beuntung', 'dpt', 'neng', 'lcb', 'sakina', 'mawaddah', 'warahmah', 'amin']",1
227,"['ganteng', 'seragam', 'ganteng', 'panutan', 'keluarga', 'moga', 'anak', 'milik', 'fisik', 'elok', 'mahluk', 'allah', 'ni']",1
228,"['untung', 'banget', 'deh', 'mba', 'dapet', 'mas', 'ganteng', 'sholeh', 'sayang', 'keluarga', 'suami', 'idam', 'banget', 'moga', 'keluarga', 'samawa']",1
229,"['smoga', 'mas', 'agus', 'pimpin', 'salah', 'pimpin', 'sukses', 'sukses', 'dlm', 'pimpin', 'dlm', 'rumah', 'tangga']",1
230,"['dear', 'bpk', 'cra', 'berpakain', 'bpk', 'cermin', 'pribadi', 'bpk', 'sngt', 'lembut', 'tpi', 'gagah', 'moga', 'bpk', 'kel', 'dlm', 'lindung', 'allah', 'swt', 'salam', 'hormat', 'dri', 'kagum', 'bpk']",1
231,"['sukses', 'kak', 'ayu', 'moga', 'senantiasa', 'naung', 'allah', 'swt', 'sehat', 'amin']",1
232,"['smg', 'ikan', 'sehat', 'umur', 'yah', 'nek', 'muda', 'banget', 'cantik', 'mashaallahhh']",1
233,"['terimakasih', 'keluarga', 'pilih', 'plataran', 'darmawangsa', 'acara', 'keluarga', 'staff', 'plataran', 'darmawangsa', 'kes', 'tunggu', 'keluarga', 'sehat', 'keluarga', 'amin', 'amin', 'ya', 'rabbi']",1
234,"['salam', 'dirgantara', 'terima', 'kasih', 'dukung', 'sebar', 'awareness', 'kait', 'program', 'pesawat', 'r', 'moga', 'momen', 'emas', 'titik', 'bangkit', 'industri', 'pesawat', 'terbang', 'indonesia', 'jaya', 'eyang', 'habibie', 'yuk', 'langkah', 'terbang', 'pesawat', 'r', 'langsung', 'klik', 'link', 'bio', 'yaaa']",1
235,"['semangat', 'ya', 'eyang', 'habibie', 'sehat', 'dlm', 'lindung', 'allah', 'ambisi', 'kuat', 'dlm', 'laku', 'kereeeennnnn', 'moga', 'bnyk', 'turus', 'bangsa', 'sprti', 'eyang', 'habibie']",1
236,"['milik', 'cucu', 'rupa', 'kebahagian', 'nilai', 'cucu', 'sbg', 'generasi', 'bangsa']",1
237,"['wahhh', 'kerenn', 'bagus', 'nostalgia', 'bersmaa', 'keluarga']",1
238,"['cantik', 'ganteng', 'sehat', 'bu', 'ani', 'keluarga']",1
239,"['barakallah', 'cucu', 'cantik', 'ganteng', 'moga', 'anak', 'sholeh', 'sholeha', 'bangga', 'kelg']",1
240,"['bu', 'cucu', 'bikin', 'hati', 'gembira', 'ngangeni', 'kadang', 'kangen', 'ceria', 'salam', 'kangen', 'cucu', 'cinta']",1
241,"['lucu', 'ganteng', 'parah', 'gede', 'pinternya', 'ga', 'ketulungan', 'salam', 'hormat', 'bu']",1
242,"['terima', 'kasih', 'sby', 'ani', 'tani', 'beliau', 'kontribusi', 'indonesia', 'pimpin', 'moga', 'bahagia', 'sehat', 'amin']",1
243,"['caption', 'kali', 'baca', 'captionnya', 'langsung', 'ajar', 'bahasa', 'inggris', 'terima', 'kasih', 'personal', 'tdk', 'kenal', 'anie', 'tp', 'betapa', 'bangga', 'anak', 'cucu', 'didik', 'generasi', 'bangsa', 'mandiri', 'unggul', 'sehat', 'moga', 'cinta', 'kasih', 'keluarga', 'engkau', 'tebar']",1
244,"['assalamualaikum', 'hormat', 'salam', 'keluarga', 'banda', 'aceh', 'bangga', 'keluarga', 'bahagia', 'lihat', 'nya', 'sikap', 'etika', 'perilaku', 'keluarga', 'sungguh', 'bijaksana', 'mas', 'agus', 'suami', 'calon', 'presiden', 'beliau', 'bangga', 'salam', 'hangat', 'kenal', 'keluarga', 'ya', 'bu', 'darmanto', 'rapi', 'photo', 'studio']",1
245,"['senang', 'liat', 'n', 'bpk', 'sby', 'nikmat', 'tua', 'brsama', 'cucu', 'cinta', 'sehat', 'trs', 'ya', 'memo', 'n', 'pepo', 'allah', 'swt', 'lindung', 'memo', 'n', 'pepo', 'n', 'kel', 'kisss']",1
246,"['semangat', 'mebangun', 'indonesia', 'maju', 'jokowi']",1
247,"['artis', 'kualitas', 'wajah', 'itulohhh', 'kualitas', 'bgt', 'hihi', 'cantik', 'bangetsss', 'top', 'deh', 'ga', 'pake', 'drama', 'gimick', 'idupnya', 'hihi', 'tajir', 'tp', 'sederhana']",1
248,"['mba', 'via', 'sptnya', 'siyok', 'lihat', 'kejam', 'dunia', 'artis', 'mudah', 'tetep', 'sabar', 'tetep', 'karya', 'dg']",1
249,"['suka', 'via', 'org', 'nya', 'jujur', 'kaga', 'gimmickan', 'hidup', 'hitam', 'ya', 'hitam', 'putih', 'ya', 'putih', 'kl', 'ngomong', 'blakan', 'kl', 'ngga', 'suka', 'dy', 'ngomong', 'jd', 'ga', 'pura', 'gw', 'banget', 'sih', 'ga', 'munafik', 'sprti', 'ajar', 'ortu', 'gw', 'suka', 'senyum', 'palsu', 'ga', 'kaya', 'artis', 'onoh', 'noh', 'mulut', 'lebar', 'kya', 'gorong', 'tukang', 'ngibul', 'munfik', 'bgt', 'kl', 'wartawan', 'jg', 'perilaku', 'ama', 'omong', 'ga', 'balance']",1
250,"['go', 'head', 'via', 'cuekin', 'aja', 'udah', 'gaul', 'dunia', 'kerja', 'masyarakat', 'gaul', 'ertong', 'gatel', 'bin', 'sirik', 'klo', 'liat', 'orang', 'sukses', 'anggep', 'aja', 'kuman', 'gak', 'bikin', 'status', 'neng', 'bahan', 'ngetawain', 'nggak']",1
251,"['gagah', 'kali', 'abang', 'borisq', 'klo', 'gk', 'bc', 'nmx', 'bner', 'gk', 'ngeh', 'klo', 'bang', 'bor']",1
252,"['weewww', 'bangga', 'kali', 'ak', 'liat', 'bang', 'pake', 'baju', 'adat', 'karo', 'syip']",1
253,"['bagus', 'banget', 'baju', 'anti', 'happy', 'weding']",1
254,"['masyaallah', 'bagus', 'banget']",1
255,"['gileee', 'suaraaanyaa', 'kereen', 'parah', 'sukak']",1
256,"['keren', 'dr', 'nyanyi', 'asli']",1
257,"['kereeeeeeeeeeeeeeennn', 'sampe', 'merinding', 'brrrrr']",1
258,"['yatuhan', 'suaranyaaaaaaa', 'bagus', 'bangetttttttt']",1
259,"['keren', 'suara', 'super', 'merdu', 'coba', 'audisi', 'nyanyi', 'bakat', 'bs', 'salur']",1
260,"['bagus', 'drpd', 'artis', 'modal', 'tampang', 'doang', 'pdhl', 'suara', 'jelek', 'mending', 'mas', 'nyanyi', 'emg', 'dasar', 'nasib', 'org', 'yak', 'gk', 'tau', 'moga', 'mas', 'sukses']",1
261,"['dgrin', 'sampe', 'bulu', 'kuduk', 'saking', 'bgusnya', 'masyaallah', 'apik', 'bgt', 'suara']",1
262,"['subhanallah', 'getar', 'hati', 'dengar', 'suara', 'nya']",1
263,"['allah', 'suara', 'bagus', 'banget', 'cantik', 'orang', 'idam', 'cowo']",1
264,"['bagusss', 'suara', 'tampil', 'sesuai', 'anak', 'sekolah', 'natural', 'sesuai', 'usia', 'nya']",1
265,"['kerennnn', 'suara', 'bagus']",1
